market_id,loan_symbol,loan_address,collateral_symbol,collateral_address,lltv_1e18,supply_epochs,borrow_epochs
0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,PT-syrupUSDC-29JAN2026,0x1Ef58a7aF39883CC95c59a2c106b726C64c2ECC6,915000000000000000,,9;10;11;12
0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,PT-USDai-19FEB2026,0x5B2C615E22272234AACF187632a0531cA1243279,915000000000000000,,9;10;11;12
0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,siUSD,0x51B0f6AED4a421f09D28A5eDe1DCF460BCB54d30,915000000000000000,,11;12
0x8e58f0dea27f877db258ecbbe16e57c9bb3541448ac0d578ef08c5b93ea9b84b,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,sUSDe,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,915000000000000000,,10;11;12
0xde895fd4a9d1ca693485fcfc2ee47d8c3b47f810bbce3c965c60d97b855d4ed2,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,sUSDS,0xdDb46999F8891663a8F2828d25298f70416d7610,945000000000000000,,9;10;11;12
0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,syrupUSDC,0x41CA7586cC1311807B4605fBB748a3B8862b42b5,915000000000000000,,9;10;11;12
0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,860000000000000000,,9;10;11;12
0xe0432ceb599fbe41defbd62fe8e914824af9d891a0a92c39de7063176c8e480b,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,weETH,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,860000000000000000,,10;11;12
0xac6a118134cc4208a22534b041a83f4ac5ca42e2ab9ea732ee53c44b7deebc62,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,860000000000000000,,9;10;11;12
0xef62d07c7e29c3864feb6de8945edd82688a2ea558de5a44dc795ad1eb1d9853,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,wsrUSD,0x4809010926aec940b550D34a46A52739f996D75D,915000000000000000,,10;11;12
0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,wstETH,0x5979D7b546E38E414F7E9822514be443A4800529,860000000000000000,,9;10;11;12
0xadc6897d644a005149d1aa42de72bcb1ff1c9f7c4a8b00db3e2356752995f80e,USD₮0,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,wstUSR,0x66CFbD79257dC5217903A36293120282548E2254,915000000000000000,,10;11;12
